hostel_name,hostel_link,city,price,distance,summary_score,rating_band,value_for_money,security,location,staff,atmosphere,cleanliness,facilities,Free,General,Services,Food & Drink,Entertainment,latitude,longitude,free_breakfast,free_parking,free_cityMaps,free_wifi,free_cityTour,free_linen,free_internetAccess,free_towel,free_airportTransfer,general_outdoorTerrace,general_washingMachine,general_cardPhones,general_iron,general_hairDryers,general_utensils,general_meetingRoom,general_commonRoom,general_readingLight,general_cableTV,general_airConditioning,general_jobBoard,general_securityLocker,general_adaptor,general_elevator,general_covid19Guide,general_microwave,general_ceilingFan,general_wheelchairFriendly,general_flexibleNRR,general_bicycleParking,general_cooker,general_safeDepositBox,general_selfCateringFacilities,general_keyCardAccess,general_bookExchange,general_fridge,general_fitnessCentre,general_hotShower,general_dryer,general_parking,general_bbq,general_childPlayArea,general_dishwasher,general_hotTub,service_housekeeping,service_laundry,service_24HourSecurity,service_lateCheckOut,service_expressCheckIn,service_luggageStorage,service_reception,service_travelDesk,service_internetCafe,service_morningCall,service_currencyExchange,service_fax,service_24HourReception,service_postal,service_bicycleHire,service_internetAccess,service_beautySalon,foodDrink_teaCoffeeMaking,foodDrink_cafe,foodDrink_bar,foodDrink_restaurant,foodDrink_Meal,foodDrink_vendingMachine,entertainment_gameRoom,entertainment_poolTable,entertainment_foosball,entertainment_DVD,entertainment_playStation,entertainment_boardGame,entertainment_wii,entertainment_wifi
HARUYA Umekoji,https://www.hostelworld.com/hosteldetails.php/HARUYA-Umekoji/Kyoto/278295,Kyoto,16.41,3.1,10,Superb,10,10,10,10,10,10,10,"['Free Airport Transfer', 'Free Internet Access', 'Free WiFi']","['Adaptors', 'Card Phones', 'Hot Tub', 'Iron / Ironing Board', 'Reading Light']","['Bicycle Hire', 'Internet Access', 'Late check-out', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],,34.98843,135.74633,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Ryokan Hostel Gion,https://www.hostelworld.com/hosteldetails.php/Ryokan-Hostel-Gion/Kyoto/292201,Kyoto,22.15,0.8,9.9,Superb,10,10,10,10,9.3,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Key Card Access', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.00679,135.77422,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Gojo Guest House,https://www.hostelworld.com/hosteldetails.php/Gojo-Guest-House/Kyoto/5317,Kyoto,16.41,1.9,9.6,Superb,10,10,9,10,10,9,9,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Security Lockers']","['Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']","['Bar', 'Cafe', 'Restaurant', 'Tea & Coffee Making Facilities']",,34.99539,135.77221,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Hostel Kyoto Kizuna,https://www.hostelworld.com/hosteldetails.php/Hostel-Kyoto-Kizuna/Kyoto/277793,Kyoto,14.77,2.1,10,Superb,10,10,10,10,10,10,10,"['Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Key Card Access', 'Microwave', 'Parking', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Tea & Coffee Making Facilities', 'Vending Machines']",['Wii'],34.99916,135.76266,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no
Tsukimi Hotel,https://www.hostelworld.com/hosteldetails.php/Tsukimi-Hotel/Kyoto/293839,Kyoto,22.15,1.5,8.9,Fabulous,8,10,10,8,8,10,8,"['Free Breakfast', 'Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Flexible NRR', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Jobs Board', 'Key Card Access', 'Meeting Rooms', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']","['Bar', 'Meals Available', 'Tea & Coffee Making Facilities']","['Board Games', 'Wi-Fi']",35.67063,139.79791,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes
Miyakawacho Guest House HANAKANZASHI,https://www.hostelworld.com/hosteldetails.php/Miyakawacho-Guest-House-HANAKANZASHI/Kyoto/300677,Kyoto,20.3,1.5,9.3,Superb,10,10,9,9,9,9,9,"['Free WiFi', 'Linen Included']","['Air Conditioning', 'Bicycle Parking', 'Common Room', 'Dryer', 'Flexible NRR', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Key Card Access', 'Reading Light', 'Security Lockers', 'Towels Not Included', 'Washing Machine']","['Internet Access', 'Luggage Storage', 'Reception (limited hours)']",['Vending Machines'],['Wi-Fi'],35.00139,135.77496,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
Nagomi-Ryokan Yuu,https://www.hostelworld.com/hosteldetails.php/Nagomi-Ryokan-Yuu/Kyoto/34703,Kyoto,25.02,2.2,8.9,Fabulous,6,10,8,10,8,10,10,"['Free City Maps', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Bicycle Parking', 'Breakfast Not Included', 'Common Room', 'Hair Dryers For Hire', 'Hot Showers', 'Parking', 'Self-Catering Facilities', 'Washing Machine']","['24 Hour Security', 'Fax Service', 'Internet Access', 'Laundry Facilities', 'Postal Service', 'Towels for hire']","['Bar', 'Cafe', 'Restaurant']",['Wi-Fi'],34.99398,135.75859,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes
WeBase Kyoto,https://www.hostelworld.com/hosteldetails.php/WeBase-Kyoto/Kyoto/294513,Kyoto,22.56,1.6,9,Superb,7,9,9,10,9,10,9,"['Free Breakfast', 'Free City Maps', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Jobs Board', 'Key Card Access', 'Microwave', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Washing Machine', 'Wheelchair Friendly']","['24 Hour Reception', '24 Hour Security', 'Bicycle Hire', 'Housekeeping', 'Laundry Facilities', 'Luggage Storage', 'Postal Service', 'Towels for hire']","['Tea & Coffee Making Facilities', 'Vending Machines']","['Board Games', 'Wi-Fi']",35.00039,135.75636,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes
Gojo Guesthouse - Annex,https://www.hostelworld.com/hosteldetails.php/Gojo-Guesthouse-Annex/Kyoto/21128,Kyoto,20.1,1.7,10,Superb,10,10,10,10,10,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Bicycle Parking', 'Breakfast Not Included', 'Common Room', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Self-Catering Facilities', 'Towels Not Included', 'Washing Machine']","['Bicycle Hire', 'Luggage Storage', 'Towels for hire']",['Tea & Coffee Making Facilities'],['Wi-Fi'],34.99822,135.77583,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Kyoto Hana Hostel,https://www.hostelworld.com/hosteldetails.php/Kyoto-Hana-Hostel/Kyoto/41311,Kyoto,14.77,2.5,8,Fabulous,8,8,10,8,8,8,6,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Book Exchange', 'Breakfast Not Included', 'Cable TV', 'Common Room', 'Dryer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Iron / Ironing Board', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Fax Service', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Tea & Coffee Making Facilities', 'Vending Machines']","['Board Games', ""DVD's"", 'Wii']",34.98979,135.75993,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no
Guest House YULULU,https://www.hostelworld.com/hosteldetails.php/Guest-House-YULULU/Kyoto/79698,Kyoto,12.31,0.5,9.7,Superb,10,9,10,10,10,10,9,"['Free City Maps', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Self-Catering Facilities', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Internet Access', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Tea & Coffee Making Facilities']",,35.0044,135.7666,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
HARUYA Higashiyama,https://www.hostelworld.com/hosteldetails.php/HARUYA-Higashiyama/Kyoto/56247,Kyoto,12.14,1,9.1,Superb,10,6,10,8,10,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Meeting Rooms', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Towels Not Included', 'Washing Machine']","['Bicycle Hire', 'Housekeeping', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.00877,135.77894,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Tanaka Gokurakudo Guest House,https://www.hostelworld.com/hosteldetails.php/Tanaka-Gokurakudo-Guest-House/Kyoto/280879,Kyoto,21.74,2.7,9.7,Superb,10,10,10,10,10,8,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Dryer', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Self-Catering Facilities', 'Washing Machine']","['Bicycle Hire', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",,['Wi-Fi'],34.98902,135.75824,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Guest House Ga-Jyun,https://www.hostelworld.com/hosteldetails.php/Guest-House-Ga-Jyun/Kyoto/83262,Kyoto,16.41,1.4,8.9,Fabulous,8,8,8,10,10,10,8,"['Free Breakfast', 'Free Internet Access', 'Free WiFi']","['Hair Dryers For Hire', 'Hot Showers', 'Self-Catering Facilities', 'Washing Machine']","['Bicycle Hire', 'Internet Access', 'Laundry Facilities', 'Luggage Storage']",['Tea & Coffee Making Facilities'],,35.0094,135.7833,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Guest House Kyoto Inn,https://www.hostelworld.com/hosteldetails.php/Guest-House-Kyoto-Inn/Kyoto/272748,Kyoto,12.31,3.3,7.7,Very good,8,6,10,10,6,8,6,"['Free Breakfast', 'Free City Maps', 'Free City Tour', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'BBQ', 'Bicycle Parking', 'Book Exchange', 'Cable TV', 'Common Room', 'Cooker', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Key Card Access', 'Microwave', 'Outdoor Terrace', 'Parking', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Towels Not Included', 'Utensils', 'Washing Machine']","['24 Hour Reception', '24 Hour Security', 'Bicycle Hire', 'Express check-in / out', 'Fax Service', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Tours/Travel Desk', 'Towels for hire']","['Cafe', 'Restaurant', 'Tea & Coffee Making Facilities', 'Vending Machines']","['Board Games', 'Wi-Fi']",34.99042,135.74316,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes
FUGASTAY Shijo Omiya,https://www.hostelworld.com/hosteldetails.php/FUGASTAY-Shijo-Omiya/Kyoto/294324,Kyoto,19.28,1.8,10,Superb,10,10,10,10,10,10,10,['Free WiFi'],,,,,35.00305,135.75125,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Guest House Shiori Ann,https://www.hostelworld.com/hosteldetails.php/Guest-House-Shiori-Ann/Kyoto/82268,Kyoto,12.06,2,9.7,Superb,10,10,10,10,8,10,10,['Free WiFi'],"['Air Conditioning', 'Breakfast Not Included']","['Internet Access', 'Laundry Facilities', 'Luggage Storage']",['Tea & Coffee Making Facilities'],,34.99495,135.75932,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Santiago Guesthouse Naha,https://www.hostelworld.com/hosteldetails.php/Santiago-Guesthouse-Naha/Okinawa/296975,Okinawa,12.31,0.3,9.4,Superb,10,10,9,10,9,8,10,"['Free City Maps', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Reading Light', 'Security Lockers', 'Towels Not Included', 'Washing Machine']","['24 Hour Security', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Tea & Coffee Making Facilities'],['Wi-Fi'],26.21097,127.67797,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Ishigaki Guesthouse HIVE,https://www.hostelworld.com/hosteldetails.php/Ishigaki-Guesthouse-HIVE/Okinawa/291754,Okinawa,24.61,410.8,9.9,Superb,10,10,9.6,10,9.6,10,10,"['Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Air Conditioning', 'Common Room', 'Cooker', 'Dryer', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Microwave', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Fax Service', 'Internet Access', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",,['Wi-Fi'],35.69519,139.76799,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Myplace Guest House,https://www.hostelworld.com/hosteldetails.php/Myplace-Guest-House/Okinawa/102100,Okinawa,14.36,1.6,9.2,Superb,9.5,10,8.5,9.5,8,9.5,9.5,"['Free City Maps', 'Free Internet Access', 'Free Parking', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Ceiling Fan', 'Common Room', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Parking', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['Bicycle Hire', 'Housekeeping', 'Laundry Facilities', 'Luggage Storage', 'Tours/Travel Desk', 'Towels for hire']",['Vending Machines'],,26.2271,127.6813,no,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Aien Coffee＆Hostel,https://www.hostelworld.com/hosteldetails.php/Aien-CoffeeHostel/Okinawa/281386,Okinawa,20.51,14.1,9.7,Superb,10,10,10,10,10,10,8,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Bicycle Parking', 'Breakfast Not Included', 'Common Room', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Iron / Ironing Board', 'Microwave', 'Parking', 'Reading Light', 'Safe Deposit Box']","['Internet Access', 'Late check-out', 'Luggage Storage', 'Reception (limited hours)']","['Bar', 'Cafe']",['Wi-Fi'],35.69444,139.82784,no,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
KumojiSo Hostel Naha Okinawa,https://www.hostelworld.com/hosteldetails.php/KumojiSo-Hostel-Naha-Okinawa/Okinawa/53678,Okinawa,18.05,0.4,7.7,Very good,10,8,8,6,8,8,6,"['Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Microwave', 'Reading Light', 'Security Lockers', 'Towels Not Included', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Currency Exchange', 'Internet Access', 'Postal Service', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Vending Machines']","['Foosball', 'Pool Table', 'Wi-Fi']",26.21592,127.68113,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes
Guest House Umikaji,https://www.hostelworld.com/hosteldetails.php/Guest-House-Umikaji/Okinawa/276734,Okinawa,20.51,0.4,7.7,Very good,6,8,8,6,8,10,8,"['Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Microwave', 'Reading Light', 'Security Lockers', 'Towels Not Included', 'Washing Machine']","['Bicycle Hire', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Vending Machines'],,26.21648,127.67803,no,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Little Asia Okinawa,https://www.hostelworld.com/hosteldetails.php/Little-Asia-Okinawa/Okinawa/25308,Okinawa,9.84,0.9,7.7,Very good,8,4,10,10,10,6,6,"['Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'BBQ', 'Bicycle Parking', 'Breakfast Not Included', 'Ceiling Fan', 'Common Room', 'Cooker', 'Dryer', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Iron / Ironing Board', 'Microwave', 'Parking', 'Self-Catering Facilities', 'Towels Not Included', 'Utensils', 'Washing Machine']","['Bicycle Hire', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']",['Bar'],['Wi-Fi'],26.21332,127.69025,no,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
Mash Café & Bed NAGANO,https://www.hostelworld.com/hosteldetails.php/Mash-Cafe-and-Bed-NAGANO/Nagano/302447,Nagano,20.51,0.8,8.7,Fabulous,8.3,9.3,10,8.7,9,7,8.7,"['Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Microwave', 'Towels Not Included', 'Washing Machine']","['Bicycle Hire', 'Laundry Facilities', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Restaurant', 'Tea & Coffee Making Facilities']",['Wi-Fi'],36.64582,138.18616,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes
